Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G004.fsa,G016.fsa,G073.fsa,G093.fsa,H011.fsa,H130.fsa,L070.fsa,L117.fsa,V002.fsa,V008.fsa,V050.fsa,V116.fsa
phaC,phaC,Poly(3-hydroxyalkanoate) polymerase subunit PhaC,12,12,1.0,1,1130,,,,1914,1914,1914.0,BEOABDLH_02743,IGIKDAHF_02450,DPGEGJOO_02175,MPBMMNBG_02498,INCINKBK_02625,AAIMJHFH_03246,CEOONHHG_02166,NAIMLHBL_02202,FBJECBCC_02200,DHFEOIJP_02479,EGPCAGCP_02220,FIDFLPKG_02543
catD_1,catD_1,3-oxoadipate enol-lactonase 2,12,12,1.0,1,1129,,,,852,852,852.0,BEOABDLH_00633,IGIKDAHF_00258,DPGEGJOO_00194,MPBMMNBG_00447,INCINKBK_00630,AAIMJHFH_01109,CEOONHHG_00105,NAIMLHBL_00117,FBJECBCC_00230,DHFEOIJP_00360,EGPCAGCP_00194,FIDFLPKG_00431
rocD2~~~rocD,rocD2;rocD,Ornithine aminotransferase 2;Ornithine aminotransferase,12,12,1.0,1,1128,,,,1200,1200,1200.0,BEOABDLH_05064,IGIKDAHF_04742,DPGEGJOO_04430,MPBMMNBG_04860,INCINKBK_05038,AAIMJHFH_05505,CEOONHHG_04616,NAIMLHBL_04968,FBJECBCC_04456,DHFEOIJP_04761,EGPCAGCP_04469,FIDFLPKG_04872
glpR_3,glpR_3,Glycerol-3-phosphate regulon repressor,12,12,1.0,1,1125,,,,777,777,777.0,BEOABDLH_06697,IGIKDAHF_06000,DPGEGJOO_06484,MPBMMNBG_06084,INCINKBK_06301,AAIMJHFH_07242,CEOONHHG_06398,NAIMLHBL_05991,FBJECBCC_05914,DHFEOIJP_06177,EGPCAGCP_06255,FIDFLPKG_06742
group_566,,hypothetical protein,12,12,1.0,1,1124,,,,402,402,402.0,BEOABDLH_01529,IGIKDAHF_01221,DPGEGJOO_01059,MPBMMNBG_01406,INCINKBK_01550,AAIMJHFH_01983,CEOONHHG_01007,NAIMLHBL_01059,FBJECBCC_01094,DHFEOIJP_01265,EGPCAGCP_01109,FIDFLPKG_01353
dnaK_1,dnaK_1,Chaperone protein DnaK,12,12,1.0,1,1119,,,,1917,1917,1917.0,BEOABDLH_00665,IGIKDAHF_00290,DPGEGJOO_00226,MPBMMNBG_00479,INCINKBK_00665,AAIMJHFH_01141,CEOONHHG_00137,NAIMLHBL_00149,FBJECBCC_00262,DHFEOIJP_00393,EGPCAGCP_00226,FIDFLPKG_00463
group_563,,hypothetical protein,12,12,1.0,1,1118,,,,873,924,890.0,BEOABDLH_02070,IGIKDAHF_01758,DPGEGJOO_01547,MPBMMNBG_01848,INCINKBK_01966,AAIMJHFH_02503,CEOONHHG_01535,NAIMLHBL_01601,FBJECBCC_01571,DHFEOIJP_01748,EGPCAGCP_01593,FIDFLPKG_01848
group_561,,hypothetical protein,12,12,1.0,1,1116,,,,414,414,414.0,BEOABDLH_01121,IGIKDAHF_00787,DPGEGJOO_00658,MPBMMNBG_01006,INCINKBK_01135,AAIMJHFH_01574,CEOONHHG_00604,NAIMLHBL_00644,FBJECBCC_00694,DHFEOIJP_00858,EGPCAGCP_00667,FIDFLPKG_00899
ddpC_7,ddpC_7,putative DD-dipeptide transport system permease protein DdpC,12,12,1.0,1,1114,,,,852,852,852.0,BEOABDLH_07429,IGIKDAHF_06637,DPGEGJOO_06702,MPBMMNBG_06957,INCINKBK_06902,AAIMJHFH_06964,CEOONHHG_07162,NAIMLHBL_06643,FBJECBCC_06662,DHFEOIJP_07028,EGPCAGCP_07069,FIDFLPKG_07582
pip_3~~~pip_4,pip_3;pip_4,Proline iminopeptidase,12,12,1.0,1,1113,,,,891,891,891.0,BEOABDLH_07427,IGIKDAHF_06635,DPGEGJOO_06700,MPBMMNBG_06955,INCINKBK_06900,AAIMJHFH_06962,CEOONHHG_07160,NAIMLHBL_06641,FBJECBCC_06660,DHFEOIJP_07026,EGPCAGCP_07067,FIDFLPKG_07580
group_556,dxs_1,1-deoxy-D-xylulose-5-phosphate synthase,12,12,1.0,1,1109,,,,1923,1923,1923.0,BEOABDLH_01524,IGIKDAHF_01216,DPGEGJOO_01054,MPBMMNBG_01401,INCINKBK_01545,AAIMJHFH_01978,CEOONHHG_01002,NAIMLHBL_01054,FBJECBCC_01089,DHFEOIJP_01260,EGPCAGCP_01104,FIDFLPKG_01348
apnO,apnO,D-apionate oxidoisomerase,12,12,1.0,1,1108,,,,828,828,828.0,BEOABDLH_06888,IGIKDAHF_06241,DPGEGJOO_05347,MPBMMNBG_06330,INCINKBK_06530,AAIMJHFH_07433,CEOONHHG_06583,NAIMLHBL_06232,FBJECBCC_06101,DHFEOIJP_06413,EGPCAGCP_06434,FIDFLPKG_06930
group_555,,hypothetical protein,12,12,1.0,1,1107,,,,945,957,956.0,BEOABDLH_05796,IGIKDAHF_05272,DPGEGJOO_05136,MPBMMNBG_05384,INCINKBK_05696,AAIMJHFH_06173,CEOONHHG_05242,NAIMLHBL_04577,FBJECBCC_05166,DHFEOIJP_05480,EGPCAGCP_05373,FIDFLPKG_05941
rbsC_11~~~rbsC_13,rbsC_11;rbsC_13,Ribose import permease protein RbsC,12,12,1.0,1,1106,,,,963,963,963.0,BEOABDLH_05794,IGIKDAHF_05270,DPGEGJOO_05134,MPBMMNBG_05382,INCINKBK_05694,AAIMJHFH_06171,CEOONHHG_05240,NAIMLHBL_04575,FBJECBCC_05164,DHFEOIJP_05478,EGPCAGCP_05371,FIDFLPKG_05939
fabG_10~~~fabG_11,fabG_10;fabG_11,3-oxoacyl-[acyl-carrier-protein] reductase FabG,12,12,1.0,1,1105,,,,738,738,738.0,BEOABDLH_02185,IGIKDAHF_01879,DPGEGJOO_01663,MPBMMNBG_01968,INCINKBK_02083,AAIMJHFH_02619,CEOONHHG_01650,NAIMLHBL_01721,FBJECBCC_01687,DHFEOIJP_01866,EGPCAGCP_01708,FIDFLPKG_01964
group_554,,putative protein,12,12,1.0,1,1104,,,,825,825,825.0,BEOABDLH_04309,IGIKDAHF_03966,DPGEGJOO_03661,MPBMMNBG_03996,INCINKBK_04226,AAIMJHFH_04781,CEOONHHG_03848,NAIMLHBL_03846,FBJECBCC_03687,DHFEOIJP_03975,EGPCAGCP_03708,FIDFLPKG_04051
codA_2~~~codA,codA_2;codA,Cytosine deaminase,12,12,1.0,1,1102,,,,1290,1290,1290.0,BEOABDLH_07454,IGIKDAHF_06655,DPGEGJOO_06727,MPBMMNBG_06973,INCINKBK_06918,AAIMJHFH_06989,CEOONHHG_07187,NAIMLHBL_06661,FBJECBCC_06687,DHFEOIJP_07044,EGPCAGCP_07094,FIDFLPKG_07607
group_552,,hypothetical protein,12,12,1.0,1,1101,,,,1050,1050,1050.0,BEOABDLH_07452,IGIKDAHF_06653,DPGEGJOO_06725,MPBMMNBG_06971,INCINKBK_06916,AAIMJHFH_06987,CEOONHHG_07185,NAIMLHBL_06659,FBJECBCC_06685,DHFEOIJP_07042,EGPCAGCP_07092,FIDFLPKG_07605
cbl,cbl,HTH-type transcriptional regulator cbl,12,12,1.0,1,1098,,,,906,906,906.0,BEOABDLH_06371,IGIKDAHF_05939,DPGEGJOO_06322,MPBMMNBG_06046,INCINKBK_06174,AAIMJHFH_06690,CEOONHHG_06129,NAIMLHBL_05704,FBJECBCC_05751,DHFEOIJP_05590,EGPCAGCP_05667,FIDFLPKG_06518
group_549,,hypothetical protein,12,12,1.0,1,1096,,,,1743,1743,1743.0,BEOABDLH_04578,IGIKDAHF_04244,DPGEGJOO_03930,MPBMMNBG_04346,INCINKBK_04500,AAIMJHFH_05050,CEOONHHG_04128,NAIMLHBL_04194,FBJECBCC_03955,DHFEOIJP_04250,EGPCAGCP_03978,FIDFLPKG_04390
agpA_1,agpA_1,Periplasmic alpha-galactoside-binding protein,12,12,1.0,1,1094,,,,1926,1926,1926.0,BEOABDLH_04500,IGIKDAHF_04162,DPGEGJOO_03851,MPBMMNBG_04217,INCINKBK_04420,AAIMJHFH_04972,CEOONHHG_04048,NAIMLHBL_04042,FBJECBCC_03876,DHFEOIJP_04166,EGPCAGCP_03898,FIDFLPKG_04241
pdxA,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,12,12,1.0,1,1093,,,,954,1029,991.5,BEOABDLH_02192,IGIKDAHF_01886,DPGEGJOO_01670,MPBMMNBG_01975,INCINKBK_02090,AAIMJHFH_02626,CEOONHHG_01657,NAIMLHBL_01728,FBJECBCC_01694,DHFEOIJP_01873,EGPCAGCP_01715,FIDFLPKG_01971
group_547,,hypothetical protein,12,12,1.0,1,1092,,,,1926,1926,1926.0,BEOABDLH_05670,IGIKDAHF_05429,DPGEGJOO_04993,MPBMMNBG_05529,INCINKBK_05548,AAIMJHFH_06047,CEOONHHG_05101,NAIMLHBL_04734,FBJECBCC_05023,DHFEOIJP_00066,EGPCAGCP_05232,FIDFLPKG_05801
group_546,,hypothetical protein,12,12,1.0,1,1091,,,,960,960,960.0,BEOABDLH_02041,IGIKDAHF_01726,DPGEGJOO_01518,MPBMMNBG_01817,INCINKBK_01935,AAIMJHFH_02474,CEOONHHG_01506,NAIMLHBL_01569,FBJECBCC_01542,DHFEOIJP_01716,EGPCAGCP_01564,FIDFLPKG_01819
group_545,,hypothetical protein,12,12,1.0,1,1090,,,,1002,1005,1003.25,BEOABDLH_02459,IGIKDAHF_02146,DPGEGJOO_01937,MPBMMNBG_02238,INCINKBK_02415,AAIMJHFH_02960,CEOONHHG_01924,NAIMLHBL_01988,FBJECBCC_01963,DHFEOIJP_02134,EGPCAGCP_01981,FIDFLPKG_02237
group_542,,hypothetical protein,12,12,1.0,1,1086,,,,159,159,159.0,BEOABDLH_02457,IGIKDAHF_02144,DPGEGJOO_01935,MPBMMNBG_02236,INCINKBK_02413,AAIMJHFH_02958,CEOONHHG_01922,NAIMLHBL_01986,FBJECBCC_01961,DHFEOIJP_02132,EGPCAGCP_01979,FIDFLPKG_02235
rbsC_15~~~rbsC_14~~~rbsC_18,rbsC_15;rbsC_14;rbsC_18,Ribose import permease protein RbsC,12,12,1.0,1,1085,,,,951,951,951.0,BEOABDLH_06781,IGIKDAHF_06093,DPGEGJOO_05240,MPBMMNBG_06173,INCINKBK_06394,AAIMJHFH_07326,CEOONHHG_06482,NAIMLHBL_06084,FBJECBCC_05995,DHFEOIJP_06269,EGPCAGCP_06339,FIDFLPKG_06826
group_541,,Putative cytochrome P450 132,12,12,1.0,1,1084,,,,1413,1416,1414.0,BEOABDLH_05468,IGIKDAHF_05115,DPGEGJOO_04831,MPBMMNBG_00380,INCINKBK_00537,AAIMJHFH_05906,CEOONHHG_05018,NAIMLHBL_05346,FBJECBCC_04857,DHFEOIJP_05140,EGPCAGCP_04868,FIDFLPKG_05274
msmE,msmE,Multiple sugar-binding protein,12,12,1.0,1,1083,,,,1257,1260,1259.5,BEOABDLH_04040,IGIKDAHF_03707,DPGEGJOO_03394,MPBMMNBG_03736,INCINKBK_03967,AAIMJHFH_04510,CEOONHHG_03580,NAIMLHBL_03591,FBJECBCC_03419,DHFEOIJP_03710,EGPCAGCP_03431,FIDFLPKG_03759
dppA_5~~~dppA_4,dppA_5;dppA_4,Periplasmic dipeptide transport protein,12,12,1.0,1,1081,,,,1611,1611,1611.0,BEOABDLH_07061,IGIKDAHF_06369,DPGEGJOO_05614,MPBMMNBG_06518,INCINKBK_06663,AAIMJHFH_07613,CEOONHHG_06797,NAIMLHBL_06360,FBJECBCC_06302,DHFEOIJP_06542,EGPCAGCP_06604,FIDFLPKG_07142
gnl_3,gnl_3,Gluconolactonase,12,12,1.0,1,1080,,,,915,915,915.0,BEOABDLH_06782,IGIKDAHF_06094,DPGEGJOO_05241,MPBMMNBG_06174,INCINKBK_06395,AAIMJHFH_07327,CEOONHHG_06483,NAIMLHBL_06085,FBJECBCC_05996,DHFEOIJP_06270,EGPCAGCP_06340,FIDFLPKG_06827
yphB,yphB,putative protein YphB,12,12,1.0,1,1078,,,,891,891,891.0,BEOABDLH_04900,IGIKDAHF_04569,DPGEGJOO_04268,MPBMMNBG_04697,INCINKBK_04866,AAIMJHFH_05373,CEOONHHG_04453,NAIMLHBL_04519,FBJECBCC_04293,DHFEOIJP_04597,EGPCAGCP_04302,FIDFLPKG_04711
group_539,,hypothetical protein,12,12,1.0,1,1077,,,,666,666,666.0,BEOABDLH_00966,IGIKDAHF_00632,DPGEGJOO_00503,MPBMMNBG_00772,INCINKBK_00982,AAIMJHFH_01419,CEOONHHG_00449,NAIMLHBL_00489,FBJECBCC_00539,DHFEOIJP_00712,EGPCAGCP_00514,FIDFLPKG_00741
degA_5~~~degA_7,degA_5;degA_7,HTH-type transcriptional regulator DegA,12,12,1.0,1,1072,,,,1023,1023,1023.0,BEOABDLH_07472,IGIKDAHF_06675,DPGEGJOO_06745,MPBMMNBG_06991,INCINKBK_06939,AAIMJHFH_07007,CEOONHHG_07207,NAIMLHBL_06681,FBJECBCC_06705,DHFEOIJP_06817,EGPCAGCP_07114,FIDFLPKG_07625
iolC,iolC,5-dehydro-2-deoxygluconokinase,12,12,1.0,1,1071,,,,1935,1935,1935.0,BEOABDLH_02119,IGIKDAHF_01811,DPGEGJOO_01596,MPBMMNBG_01902,INCINKBK_02017,AAIMJHFH_02553,CEOONHHG_01584,NAIMLHBL_01654,FBJECBCC_01620,DHFEOIJP_01799,EGPCAGCP_01642,FIDFLPKG_01897
group_534,,hypothetical protein,12,12,1.0,1,1067,,,,1206,1206,1206.0,BEOABDLH_06289,IGIKDAHF_05857,DPGEGJOO_06239,MPBMMNBG_05944,INCINKBK_06081,AAIMJHFH_06551,CEOONHHG_06046,NAIMLHBL_05622,FBJECBCC_05668,DHFEOIJP_06009,EGPCAGCP_05580,FIDFLPKG_06435
group_532,,hypothetical protein,12,12,1.0,1,1065,,,,1281,1293,1290.0,BEOABDLH_05033,IGIKDAHF_04709,DPGEGJOO_04398,MPBMMNBG_04829,INCINKBK_05004,AAIMJHFH_05474,CEOONHHG_04585,NAIMLHBL_04935,FBJECBCC_04424,DHFEOIJP_04728,EGPCAGCP_04438,FIDFLPKG_04841
xerD~~~xerD_1,xerD;xerD_1,Tyrosine recombinase XerD,12,12,1.0,1,1064,,,,954,954,954.0,BEOABDLH_05031,IGIKDAHF_04707,DPGEGJOO_04396,MPBMMNBG_04827,INCINKBK_05002,AAIMJHFH_05472,CEOONHHG_04583,NAIMLHBL_04933,FBJECBCC_04422,DHFEOIJP_04726,EGPCAGCP_04436,FIDFLPKG_04839
group_530,,hypothetical protein,12,12,1.0,1,1062,,,,1182,1182,1182.0,BEOABDLH_04330,IGIKDAHF_03994,DPGEGJOO_03682,MPBMMNBG_04044,INCINKBK_04253,AAIMJHFH_04802,CEOONHHG_03877,NAIMLHBL_03874,FBJECBCC_03708,DHFEOIJP_03999,EGPCAGCP_03729,FIDFLPKG_04071
group_529,,hypothetical protein,12,12,1.0,1,1061,,,,213,213,213.0,BEOABDLH_03567,IGIKDAHF_03197,DPGEGJOO_02924,MPBMMNBG_03237,INCINKBK_03489,AAIMJHFH_04017,CEOONHHG_03105,NAIMLHBL_03081,FBJECBCC_02948,DHFEOIJP_03235,EGPCAGCP_02959,FIDFLPKG_03291
cysH,cysH,Thioredoxin-dependent 5'-adenylylsulfate reductase,12,12,1.0,1,1060,,,,741,759,757.5,BEOABDLH_01876,IGIKDAHF_01546,DPGEGJOO_01354,MPBMMNBG_01637,INCINKBK_01757,AAIMJHFH_02311,CEOONHHG_01343,NAIMLHBL_01386,FBJECBCC_01378,DHFEOIJP_01544,EGPCAGCP_01402,FIDFLPKG_01653
group_528,,hypothetical protein,12,12,1.0,1,1059,,,,927,939,928.0,BEOABDLH_06473,IGIKDAHF_05552,DPGEGJOO_05943,MPBMMNBG_05650,INCINKBK_05769,AAIMJHFH_06782,CEOONHHG_05533,NAIMLHBL_05786,FBJECBCC_05371,DHFEOIJP_05670,EGPCAGCP_05769,FIDFLPKG_06612
group_526,,hypothetical protein,12,12,1.0,1,1057,,,,1941,1941,1941.0,BEOABDLH_04953,IGIKDAHF_04626,DPGEGJOO_04319,MPBMMNBG_04748,INCINKBK_04918,AAIMJHFH_05394,CEOONHHG_04506,NAIMLHBL_04852,FBJECBCC_04345,DHFEOIJP_04645,EGPCAGCP_04359,FIDFLPKG_04761
aptA,aptA,Apulose-4-phosphate transketolase subunit A,12,12,1.0,1,1055,,,,810,810,810.0,BEOABDLH_03381,IGIKDAHF_03005,DPGEGJOO_02738,MPBMMNBG_03061,INCINKBK_03297,AAIMJHFH_03826,CEOONHHG_02725,NAIMLHBL_02814,FBJECBCC_02762,DHFEOIJP_03047,EGPCAGCP_02773,FIDFLPKG_03105
aplK,aplK,Apulose kinase,12,12,1.0,1,1054,,,,1467,1467,1467.0,BEOABDLH_03379,IGIKDAHF_03003,DPGEGJOO_02736,MPBMMNBG_03059,INCINKBK_03295,AAIMJHFH_03824,CEOONHHG_02723,NAIMLHBL_02812,FBJECBCC_02760,DHFEOIJP_03045,EGPCAGCP_02771,FIDFLPKG_03103
pyrC_2,pyrC_2,Dihydroorotase,12,12,1.0,1,1053,,,,1290,1290,1290.0,BEOABDLH_02377,IGIKDAHF_02072,DPGEGJOO_01854,MPBMMNBG_02165,INCINKBK_02292,AAIMJHFH_02811,CEOONHHG_01841,NAIMLHBL_01914,FBJECBCC_01879,DHFEOIJP_02060,EGPCAGCP_01899,FIDFLPKG_02155
group_521,,hypothetical protein,12,12,1.0,1,1049,,,,1944,1944,1944.0,BEOABDLH_03953,IGIKDAHF_03615,DPGEGJOO_03308,MPBMMNBG_03642,INCINKBK_03877,AAIMJHFH_04423,CEOONHHG_03493,NAIMLHBL_03499,FBJECBCC_03333,DHFEOIJP_03620,EGPCAGCP_03344,FIDFLPKG_03672
group_520,,hypothetical protein,12,12,1.0,1,1048,,,,408,411,410.0,BEOABDLH_00647,IGIKDAHF_00272,DPGEGJOO_00208,MPBMMNBG_00461,INCINKBK_00644,AAIMJHFH_01123,CEOONHHG_00119,NAIMLHBL_00131,FBJECBCC_00244,DHFEOIJP_00374,EGPCAGCP_00208,FIDFLPKG_00445
yesO_2,yesO_2,Putative ABC transporter substrate-binding protein YesO,12,12,1.0,1,1047,,,,1287,1287,1287.0,BEOABDLH_00601,IGIKDAHF_00216,DPGEGJOO_00162,MPBMMNBG_00411,INCINKBK_00589,AAIMJHFH_01077,CEOONHHG_00073,NAIMLHBL_00075,FBJECBCC_00198,DHFEOIJP_00313,EGPCAGCP_00134,FIDFLPKG_00399
rbsA_11~~~rbsA_8~~~rbsA_9~~~rbsA_10,rbsA_11;rbsA_8;rbsA_9;rbsA_10,Ribose import ATP-binding protein RbsA,12,12,1.0,1,1044,,,,1515,1515,1515.0,BEOABDLH_05793,IGIKDAHF_05269,DPGEGJOO_05133,MPBMMNBG_05381,INCINKBK_05693,AAIMJHFH_06170,CEOONHHG_05239,NAIMLHBL_04574,FBJECBCC_05163,DHFEOIJP_05477,EGPCAGCP_05370,FIDFLPKG_05938
zapE,zapE,Cell division protein ZapE,12,12,1.0,1,1043,,,,1164,1164,1164.0,BEOABDLH_05119,IGIKDAHF_04793,DPGEGJOO_04485,MPBMMNBG_04913,INCINKBK_05091,AAIMJHFH_05561,CEOONHHG_04671,NAIMLHBL_05019,FBJECBCC_04511,DHFEOIJP_04814,EGPCAGCP_04524,FIDFLPKG_04927
hrp1~~~hrp1_1,hrp1;hrp1_1,Hypoxic response protein 1,12,12,1.0,1,1041,,,,435,435,435.0,BEOABDLH_03189,IGIKDAHF_02809,DPGEGJOO_02545,MPBMMNBG_02865,INCINKBK_03090,AAIMJHFH_03637,CEOONHHG_02532,NAIMLHBL_02617,FBJECBCC_02569,DHFEOIJP_02842,EGPCAGCP_02581,FIDFLPKG_02911
rhtB_1~~~rhtB_2,rhtB_1;rhtB_2;,Homoserine/homoserine lactone efflux protein;hypothetical protein,12,12,1.0,1,1040,,,,618,729,664.25,BEOABDLH_00885,IGIKDAHF_00549,DPGEGJOO_00421,MPBMMNBG_00686,INCINKBK_00898,AAIMJHFH_01338,CEOONHHG_00368,NAIMLHBL_00406,FBJECBCC_00457,DHFEOIJP_00626,EGPCAGCP_00433,FIDFLPKG_00659
comM_2~~~comM,comM_2;comM,Competence protein ComM,12,12,1.0,1,1039,,,,927,1533,1432.0,BEOABDLH_00883,IGIKDAHF_00546,DPGEGJOO_00419,MPBMMNBG_00682,INCINKBK_00891,AAIMJHFH_01336,CEOONHHG_00366,NAIMLHBL_00403,FBJECBCC_00455,DHFEOIJP_00619,EGPCAGCP_00431,FIDFLPKG_00657
nadB,nadB;,L-aspartate oxidase;hypothetical protein,12,12,1.0,1,1038,,,,1542,1542,1542.0,BEOABDLH_05874,IGIKDAHF_05589,DPGEGJOO_05982,MPBMMNBG_05684,INCINKBK_05806,AAIMJHFH_06820,CEOONHHG_05577,NAIMLHBL_05823,FBJECBCC_05410,DHFEOIJP_05711,EGPCAGCP_05808,FIDFLPKG_06032
group_517,,hypothetical protein,12,12,1.0,1,1036,,,,1716,1731,1721.0,BEOABDLH_03929,IGIKDAHF_03589,DPGEGJOO_03284,MPBMMNBG_03617,INCINKBK_03847,AAIMJHFH_04397,CEOONHHG_03469,NAIMLHBL_03473,FBJECBCC_03309,DHFEOIJP_03595,EGPCAGCP_03320,FIDFLPKG_03648
nanR_1~~~pdhR_1,nanR_1;pdhR_1,HTH-type transcriptional repressor NanR;Pyruvate dehydrogenase complex repressor,12,12,1.0,1,1033,,,,786,786,786.0,BEOABDLH_03030,IGIKDAHF_02629,DPGEGJOO_02392,MPBMMNBG_02707,INCINKBK_02917,AAIMJHFH_03479,CEOONHHG_02372,NAIMLHBL_02382,FBJECBCC_02416,DHFEOIJP_02670,EGPCAGCP_02422,FIDFLPKG_02751
group_515,,hypothetical protein,12,12,1.0,1,1032,,,,642,708,658.5,BEOABDLH_01400,IGIKDAHF_01087,DPGEGJOO_00933,MPBMMNBG_01280,INCINKBK_01412,AAIMJHFH_01854,CEOONHHG_00880,NAIMLHBL_00926,FBJECBCC_00968,DHFEOIJP_01130,EGPCAGCP_00983,FIDFLPKG_01225
group_514,,hypothetical protein,12,12,1.0,1,1031,,,,294,312,307.5,BEOABDLH_01402,IGIKDAHF_01089,DPGEGJOO_00935,MPBMMNBG_01282,INCINKBK_01414,AAIMJHFH_01856,CEOONHHG_00882,NAIMLHBL_00928,FBJECBCC_00970,DHFEOIJP_01132,EGPCAGCP_00985,FIDFLPKG_01227
ompA_2,ompA_2,Outer membrane protein A,12,12,1.0,1,1030,,,,1956,1956,1956.0,BEOABDLH_05849,IGIKDAHF_05565,DPGEGJOO_05957,MPBMMNBG_05667,INCINKBK_05782,AAIMJHFH_06796,CEOONHHG_05550,NAIMLHBL_05799,FBJECBCC_05385,DHFEOIJP_05686,EGPCAGCP_05783,FIDFLPKG_06005
group_512,,hypothetical protein,12,12,1.0,1,1028,,,,1200,1203,1202.0,BEOABDLH_03695,IGIKDAHF_03336,DPGEGJOO_03053,MPBMMNBG_03365,INCINKBK_03618,AAIMJHFH_04164,CEOONHHG_03234,NAIMLHBL_03221,FBJECBCC_03077,DHFEOIJP_03365,EGPCAGCP_03090,FIDFLPKG_03420
group_511,,hypothetical protein,12,12,1.0,1,1027,,,,1488,1488,1488.0,BEOABDLH_03693,IGIKDAHF_03334,DPGEGJOO_03051,MPBMMNBG_03363,INCINKBK_03616,AAIMJHFH_04162,CEOONHHG_03232,NAIMLHBL_03219,FBJECBCC_03075,DHFEOIJP_03363,EGPCAGCP_03088,FIDFLPKG_03418
group_509,,hypothetical protein,12,12,1.0,1,1025,,,,249,267,259.5,BEOABDLH_02892,IGIKDAHF_02524,DPGEGJOO_02244,MPBMMNBG_02578,INCINKBK_02813,AAIMJHFH_03340,CEOONHHG_02235,NAIMLHBL_02276,FBJECBCC_02269,DHFEOIJP_02563,EGPCAGCP_02289,FIDFLPKG_02612
proX,proX,Prolyl-tRNA editing protein ProX,12,12,1.0,1,1024,,,,510,510,510.0,BEOABDLH_05253,IGIKDAHF_04891,DPGEGJOO_04615,MPBMMNBG_05025,INCINKBK_05191,AAIMJHFH_05691,CEOONHHG_04802,NAIMLHBL_05121,FBJECBCC_04641,DHFEOIJP_04913,EGPCAGCP_04652,FIDFLPKG_05058
lldR_2~~~lldR_4,lldR_2;lldR_4,Putative L-lactate dehydrogenase operon regulatory protein,12,12,1.0,1,1023,,,,759,759,759.0,BEOABDLH_06893,IGIKDAHF_06247,DPGEGJOO_05352,MPBMMNBG_06335,INCINKBK_06536,AAIMJHFH_07438,CEOONHHG_06588,NAIMLHBL_06238,FBJECBCC_06106,DHFEOIJP_06419,EGPCAGCP_06439,FIDFLPKG_06935
group_507,,hypothetical protein,12,12,1.0,1,1021,,,,516,612,548.0,BEOABDLH_03192,IGIKDAHF_02812,DPGEGJOO_02548,MPBMMNBG_02868,INCINKBK_03093,AAIMJHFH_03640,CEOONHHG_02535,NAIMLHBL_02620,FBJECBCC_02572,DHFEOIJP_02845,EGPCAGCP_02584,FIDFLPKG_02914
lgoD,lgoD,L-galactonate-5-dehydrogenase,12,12,1.0,1,1016,,,,1020,1020,1020.0,BEOABDLH_01065,IGIKDAHF_00741,DPGEGJOO_00601,MPBMMNBG_00957,INCINKBK_01092,AAIMJHFH_01518,CEOONHHG_00548,NAIMLHBL_00598,FBJECBCC_00637,DHFEOIJP_00814,EGPCAGCP_00611,FIDFLPKG_00843
appA_3~~~nikA,appA_3;;nikA,Oligopeptide-binding protein AppA;hypothetical protein;Nickel-binding periplasmic protein,12,12,1.0,1,1015,,,,1647,1647,1647.0,BEOABDLH_06328,IGIKDAHF_05903,DPGEGJOO_06278,MPBMMNBG_05989,INCINKBK_06126,AAIMJHFH_06590,CEOONHHG_06085,NAIMLHBL_05668,FBJECBCC_05707,DHFEOIJP_06054,EGPCAGCP_05619,FIDFLPKG_06474
pglF,pglF,UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase,12,12,1.0,1,1007,,,,1968,1968,1968.0,BEOABDLH_07308,IGIKDAHF_06766,DPGEGJOO_06586,MPBMMNBG_06857,INCINKBK_07022,AAIMJHFH_08139,CEOONHHG_07042,NAIMLHBL_06772,FBJECBCC_06547,DHFEOIJP_06905,EGPCAGCP_06948,FIDFLPKG_07463
group_496,,hypothetical protein,12,12,1.0,1,1003,,,,600,600,600.0,BEOABDLH_00805,IGIKDAHF_00415,DPGEGJOO_00339,MPBMMNBG_00599,INCINKBK_00783,AAIMJHFH_01257,CEOONHHG_00252,NAIMLHBL_00274,FBJECBCC_00376,DHFEOIJP_00512,EGPCAGCP_00339,FIDFLPKG_00579
epsL_2,;epsL_2,hypothetical protein;putative sugar transferase EpsL,12,12,1.0,1,1001,,,,657,657,657.0,BEOABDLH_04535,IGIKDAHF_04197,DPGEGJOO_03886,MPBMMNBG_04254,INCINKBK_04455,AAIMJHFH_05007,CEOONHHG_04083,NAIMLHBL_04077,FBJECBCC_03911,DHFEOIJP_04201,EGPCAGCP_03933,FIDFLPKG_04276
rbsA_10~~~mglA_6~~~rbsA_12,rbsA_10;mglA_6;rbsA_12,Ribose import ATP-binding protein RbsA;Galactose/methyl galactoside import ATP-binding protein MglA,12,12,1.0,1,1000,,,,1515,1515,1515.0,BEOABDLH_06681,IGIKDAHF_05984,DPGEGJOO_06468,MPBMMNBG_06068,INCINKBK_06285,AAIMJHFH_07226,CEOONHHG_06382,NAIMLHBL_05975,FBJECBCC_05898,DHFEOIJP_06161,EGPCAGCP_06239,FIDFLPKG_06726
